Name,Server,EDBFilePath,LogFolderPath,DeletedItemRetention,GC,OAB,RetainDeletedItemsUntilBackup,IndexEnabled,CircularLoggingEnabled,ProhibitSendReceiveQuota,ProhibitSendQuota,IssueWarningQuota,AllowFileRestore,BackgroundDatabaseMaintenance,IsExcludedFromProvisioning,IsSuspendedFromProvisioning,MailboxRetention,MountAtStartup,EventHistoryRetentionPeriod,AutoDagExcludeFromMonitoring,CalendarLoggingQuota,IsExcludedFromInitialProvisioning,DataMoveReplicationConstraint,RecoverableItemsQuota,RecoverableItemsWarningQuota
"DAG1-DB014","msx-tp02","C:\ExchangeDatabases\DAG1-DB014\DAG1-DB014.db\DAG1-DB014.edb","C:\ExchangeDatabases\DAG1-DB014\DAG1-DB014.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB015","msx-tp03","C:\ExchangeDatabases\DAG1-DB015\DAG1-DB015.db\DAG1-DB015.edb","C:\ExchangeDatabases\DAG1-DB015\DAG1-DB015.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB016","msx-tp04","C:\ExchangeDatabases\DAG1-DB016\DAG1-DB016.db\DAG1-DB016.edb","C:\ExchangeDatabases\DAG1-DB016\DAG1-DB016.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB017","msx-tp05","C:\ExchangeDatabases\DAG1-DB017\DAG1-DB017.db\DAG1-DB017.edb","C:\ExchangeDatabases\DAG1-DB017\DAG1-DB017.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB018","msx-tp06","C:\ExchangeDatabases\DAG1-DB018\DAG1-DB018.db\DAG1-DB018.edb","C:\ExchangeDatabases\DAG1-DB018\DAG1-DB018.log","60.00:00:00","cdc-tp01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB019","msx-mh01","C:\ExchangeDatabases\DAG1-DB019\DAG1-DB019.db\DAG1-DB019.edb","C:\ExchangeDatabases\DAG1-DB019\DAG1-DB019.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB020","msx-mh02","C:\ExchangeDatabases\DAG1-DB020\DAG1-DB020.db\DAG1-DB020.edb","C:\ExchangeDatabases\DAG1-DB020\DAG1-DB020.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB021","msx-mh03","C:\ExchangeDatabases\DAG1-DB021\DAG1-DB021.db\DAG1-DB021.edb","C:\ExchangeDatabases\DAG1-DB021\DAG1-DB021.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB022","msx-mh04","C:\ExchangeDatabases\DAG1-DB022\DAG1-DB022.db\DAG1-DB022.edb","C:\ExchangeDatabases\DAG1-DB022\DAG1-DB022.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
"DAG1-DB023","msx-mh05","C:\ExchangeDatabases\DAG1-DB023\DAG1-DB023.db\DAG1-DB023.edb","C:\ExchangeDatabases\DAG1-DB023\DAG1-DB023.log","60.00:00:00","cdc-mh01.campus.ad.uvm.edu","\Default Offline Address Book","FALSE","True","TRUE","53760 MB","51200 MB","48640 MB","True","True","False","False","60.00:00:00","True","7.00:00:00","False","1GB","False","SecondDatacenter","60","40"
